epoch,accuracy,loss,val_accuracy,val_loss
0,0.7672533988952637,0.5584009885787964,0.8814317584037781,0.4320681691169739
1,0.8751047849655151,0.37053990364074707,0.8836688995361328,0.33042025566101074
2,0.8818105459213257,0.31751662492752075,0.8881431818008423,0.30838194489479065
3,0.8873987197875977,0.29721200466156006,0.8926174640655518,0.2934788167476654
4,0.8924280405044556,0.2850605249404907,0.8970917463302612,0.28578895330429077
5,0.8952221274375916,0.2754480540752411,0.9015659689903259,0.2752452492713928
6,0.8982956409454346,0.26756367087364197,0.9038031101226807,0.27313241362571716
7,0.9002514481544495,0.2622441351413727,0.9038031101226807,0.27367231249809265
8,0.8996926546096802,0.2586972713470459,0.9082773923873901,0.26555225253105164
9,0.9019278883934021,0.2548435628414154,0.9060402512550354,0.26017358899116516
10,0.9038837552070618,0.25050830841064453,0.9082773923873901,0.25968682765960693
11,0.9024867415428162,0.24983946979045868,0.9082773923873901,0.2564220726490021
12,0.9055601954460144,0.24544593691825867,0.9105145335197449,0.2523599863052368
13,0.9050014019012451,0.2425866276025772,0.9105145335197449,0.25389179587364197
14,0.9052808284759521,0.24437424540519714,0.9127516746520996,0.24631866812705994
15,0.9069572687149048,0.24127396941184998,0.9127516746520996,0.24597981572151184
16,0.9083542823791504,0.23772737383842468,0.9172259569168091,0.25051605701446533
17,0.9083542823791504,0.2362579107284546,0.9127516746520996,0.2502904236316681
